Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
HAS3	1.3e-17	2.3	36.4	-3.97
ROPN1B	2.5e-04	1.1	16.5	-3.97
CST1	q<=5.0e-20	15.5	1.0	3.96
GPC3	q<=5.0e-20	11.7	182.7	-3.96
TP63	q<=5.0e-20	3.9	61.1	-3.96
CLEC3B	9.7e-20	7.7	120.3	-3.96
PTN	6.6e-17	15.3	238.7	-3.96
DMD	q<=5.0e-20	2.4	36.7	-3.96
CNTFR	1.5e-14	2.1	33.0	-3.95
CDO1	6.7e-17	3.7	57.1	-3.94
GABRE	2.0e-14	2.3	34.6	-3.94
MYEOV	1.2e-07	1.2	18.1	-3.93
SLC7A10	3.8e-12	1.0	15.3	-3.93
CNN1	q<=5.0e-20	20.2	306.9	-3.93
SLC27A6	q<=5.0e-20	1.0	15.0	-3.91
VIT	q<=5.0e-20	1.6	23.9	-3.91
LRRN4CL	q<=5.0e-20	1.6	24.2	-3.90
KRT15	7.3e-15	61.6	922.7	-3.90
SLC13A2	9.2e-12	1.1	16.9	-3.90
AOC3	5.4e-16	17.8	266.3	-3.90
FDCSP	9.7e-04	5.3	79.2	-3.89
PIK3C2G	q<=5.0e-20	1.0	14.8	-3.88
NSG1	q<=5.0e-20	1.2	18.2	-3.87
SLC34A2	7.8e-07	3.5	51.7	-3.87
HLF	q<=5.0e-20	2.1	30.5	-3.85
GPX3	1.8e-14	62.2	898.8	-3.85
IGSF10	q<=5.0e-20	1.0	14.4	-3.85
THRSP	3.2e-12	7.9	114.1	-3.85
ELF5	1.9e-08	6.3	88.3	-3.81
CFD	2.8e-14	26.9	378.4	-3.81
IL33	q<=5.0e-20	6.1	84.7	-3.80
SLC6A14	1.6e-06	1.0	13.9	-3.80
FGF2	q<=5.0e-20	1.6	21.7	-3.79
TACR1	q<=5.0e-20	1.1	15.3	-3.79
CCL28	q<=5.0e-20	16.0	218.8	-3.78
KIF4A	q<=5.0e-20	13.8	1.0	3.78
ANGPTL1	q<=5.0e-20	1.5	19.8	-3.76
DPT	1.7e-13	9.9	133.9	-3.76
GPAM	1.5e-12	9.3	125.3	-3.75
IL17B	4.7e-15	1.0	13.5	-3.75
MLXIPL	3.3e-12	1.2	15.5	-3.75
BIRC5	q<=5.0e-20	35.8	2.7	3.74
MUC15	1.0e-12	1.0	13.4	-3.74
MAMDC2	q<=5.0e-20	2.4	32.0	-3.73
OSR1	q<=5.0e-20	3.1	41.2	-3.73
IQGAP3	q<=5.0e-20	14.3	1.1	3.73
ITGA7	6.2e-17	5.8	76.7	-3.73
ALDH1A2	q<=5.0e-20	1.2	15.5	-3.71
EDN3	8.5e-16	1.0	12.9	-3.69
EPHB1	q<=5.0e-20	1.0	13.4	-3.69
NUF2	q<=5.0e-20	18.8	1.5	3.69
ACKR1	q<=5.0e-20	20.7	263.9	-3.67
KIF20A	q<=5.0e-20	21.7	1.7	3.67
GDF10	2.2e-18	1.0	12.7	-3.67
KLHL13	q<=5.0e-20	3.5	44.3	-3.67
KRT17	1.6e-13	75.1	946.8	-3.66
ACVR1C	3.4e-11	1.0	12.5	-3.65
ADAM33	q<=5.0e-20	2.1	26.4	-3.65
FREM1	q<=5.0e-20	1.0	12.8	-3.64
CAPN6	8.7e-04	1.2	15.5	-3.64
IRX1	1.4e-14	2.4	29.4	-3.64
TOP2A	q<=5.0e-20	55.9	4.5	3.63
PDE2A	q<=5.0e-20	3.5	43.3	-3.63
CCL21	1.5e-15	13.3	164.6	-3.63
MEOX1	q<=5.0e-20	2.8	34.8	-3.62
PTX3	5.3e-08	1.0	12.8	-3.62
NPR1	2.7e-19	4.4	53.9	-3.62
MAOA	4.5e-15	6.5	79.1	-3.61
MYBL2	q<=5.0e-20	36.3	3.0	3.60
SLC2A4	2.0e-10	1.0	12.1	-3.59
OGN	q<=5.0e-20	7.4	89.4	-3.59
GALNT15	5.4e-16	5.2	61.7	-3.58
SYN2	q<=5.0e-20	1.0	11.9	-3.57
RDH5	4.8e-15	1.0	11.8	-3.56
SPX	3.6e-07	1.0	11.8	-3.56
DNASE1L3	q<=5.0e-20	1.2	14.3	-3.56
KLF15	4.5e-16	1.3	15.3	-3.56
CLDN8	1.4e-18	4.8	56.8	-3.55
LINC01819	1.3e-07	1.1	12.6	-3.55
ACTA2-AS1	1.3e-15	1.4	16.1	-3.54
ADAMTS5	q<=5.0e-20	3.0	35.1	-3.54
TPX2	q<=5.0e-20	48.1	4.2	3.53
SVEP1	q<=5.0e-20	4.1	46.8	-3.53
CAV1	q<=5.0e-20	58.8	662.7	-3.50
TGFBR3	q<=5.0e-20	11.8	133.8	-3.50
PLAC9	7.6e-17	9.8	110.4	-3.50
MMP13	q<=5.0e-20	11.2	1.0	3.49
PDE1C	q<=5.0e-20	1.0	11.3	-3.49
KCNMB1	q<=5.0e-20	2.3	25.3	-3.47
DLGAP5	q<=5.0e-20	13.2	1.2	3.47
HJURP	q<=5.0e-20	11.1	1.0	3.47
KLB	1.5e-12	1.0	11.0	-3.46
TROAP	q<=5.0e-20	15.0	1.4	3.46
MATN2	q<=5.0e-20	12.5	137.3	-3.46
NNAT	6.8e-07	1.7	18.3	-3.46
EGR1	q<=5.0e-20	111.7	1217.6	-3.45
PBK	q<=5.0e-20	17.3	1.6	3.45
LRRC15	q<=5.0e-20	44.0	4.0	3.45
CCN4	q<=5.0e-20	14.6	1.3	3.44
RGN	q<=5.0e-20	1.0	11.1	-3.44
FOS	2.5e-17	144.3	1565.7	-3.44
UHRF1	q<=5.0e-20	12.4	1.1	3.43
HCAR2	3.4e-14	1.3	14.2	-3.42
CMA1	5.3e-16	1.0	10.7	-3.42
MAP1LC3C	8.9e-17	1.0	10.7	-3.42
ATOH8	q<=5.0e-20	1.0	10.6	-3.41
C7	1.4e-15	3.4	35.8	-3.41
ID4	q<=5.0e-20	8.4	88.7	-3.40
LEPR	q<=5.0e-20	4.7	49.7	-3.40
IL6	8.8e-07	1.7	18.3	-3.40
CLDN11	q<=5.0e-20	4.1	42.8	-3.40
GYG2	2.2e-13	9.5	99.8	-3.39
ARHGAP40	1.1e-04	1.6	16.6	-3.39
RRM2	q<=5.0e-20	41.2	3.9	3.39
FAT2	q<=5.0e-20	1.0	10.5	-3.39
SMYD1	9.8e-05	1.0	10.5	-3.39
SORBS1	8.1e-16	17.5	183.1	-3.38
APOD	3.5e-05	305.1	3166.4	-3.38
ASPA	2.9e-19	1.0	10.4	-3.38
TRIM29	q<=5.0e-20	21.2	221.2	-3.38
AVPR2	q<=5.0e-20	1.0	10.4	-3.38
ACACB	6.0e-14	6.1	63.0	-3.37
CX3CL1	q<=5.0e-20	29.4	302.9	-3.37
TP53AIP1	2.4e-19	1.0	10.3	-3.37
MISP	q<=5.0e-20	44.8	4.4	3.36
LGR6	7.6e-12	2.1	21.5	-3.34
LOC102723517	2.7e-15	6.6	67.0	-3.34
MYZAP	6.1e-17	1.5	15.3	-3.34
MEOX2	q<=5.0e-20	3.0	30.1	-3.34
IGFBP6	3.3e-19	19.8	200.2	-3.33
ABCA10	q<=5.0e-20	1.0	10.1	-3.33
SYT8	5.9e-05	2.0	20.3	-3.33
PPARG	1.9e-16	8.5	84.3	-3.31
TF	5.5e-10	1.0	9.9	-3.31
FAM83D	q<=5.0e-20	15.3	1.5	3.31
SLC66A1L	3.1e-17	1.3	13.0	-3.31
LINC02544	q<=5.0e-20	10.3	1.0	3.31
PFKFB1	1.4e-12	1.1	11.1	-3.31
CEP55	q<=5.0e-20	19.1	1.9	3.30
MELK	q<=5.0e-20	17.3	1.8	3.30
BUB1	q<=5.0e-20	16.4	1.7	3.29
FOXM1	q<=5.0e-20	20.0	2.1	3.27
INSYN2B	8.7e-14	1.0	9.5	-3.25
PGM5	q<=5.0e-20	3.5	32.9	-3.25
INHBA	q<=5.0e-20	29.3	3.1	3.24
SOD3	q<=5.0e-20	17.1	161.1	-3.24
EGFR	1.2e-07	10.1	95.5	-3.24
CDC20	q<=5.0e-20	43.5	4.6	3.24
ARHGAP20	q<=5.0e-20	1.0	9.5	-3.24
KLHL29	q<=5.0e-20	1.5	14.5	-3.24
ANLN	q<=5.0e-20	19.1	2.0	3.24
ADRB2	q<=5.0e-20	2.5	23.3	-3.24
SGK2	3.5e-14	1.1	10.6	-3.23
ACSM5	3.2e-13	1.1	10.1	-3.22
PPP1R14A	q<=5.0e-20	9.5	88.5	-3.22
MKI67	q<=5.0e-20	17.7	1.9	3.22
SLC28A3	1.2e-10	1.2	11.0	-3.21
FGFBP1	3.8e-05	1.0	9.2	-3.21
CALB2	1.1e-10	7.1	65.2	-3.21
TMOD1	1.2e-09	1.0	9.2	-3.21
SERPINB5	1.5e-08	6.3	58.5	-3.21
ENPP2	q<=5.0e-20	18.2	167.2	-3.20
HOXA5	q<=5.0e-20	2.9	26.8	-3.20
HMMR	q<=5.0e-20	10.8	1.2	3.20
EXO1	q<=5.0e-20	9.2	1.0	3.19
PLK1	q<=5.0e-20	22.9	2.5	3.19
ANKRD29	q<=5.0e-20	2.3	20.9	-3.19
C16orf89	7.3e-15	5.0	45.9	-3.19
WDR86-AS1	q<=5.0e-20	1.4	12.4	-3.18
DEFB1	9.4e-04	5.1	45.9	-3.18
SCN4B	q<=5.0e-20	3.7	33.0	-3.17
CCL14	q<=5.0e-20	1.0	9.0	-3.17
PTGS2	2.6e-07	1.0	9.0	-3.17
CLDN5	7.7e-14	8.8	79.2	-3.17
ANGPTL7	1.6e-15	1.0	9.0	-3.17
DSC3	1.2e-09	2.2	20.1	-3.17
JPH2	1.5e-11	1.0	9.0	-3.16
NGFR	q<=5.0e-20	5.5	49.1	-3.15
PLXNA4	2.0e-14	1.6	14.3	-3.14
CRTAC1	1.8e-07	1.0	8.7	-3.13
PDE3B	5.4e-11	2.0	17.1	-3.12
C2orf88	q<=5.0e-20	1.2	10.7	-3.12
NRG1	1.8e-16	1.0	8.7	-3.12
MFAP4	q<=5.0e-20	44.8	388.8	-3.12
ANGPT1	8.6e-16	1.8	15.9	-3.12
LINC01485	3.0e-12	1.0	8.7	-3.12
TSHZ2	q<=5.0e-20	2.3	20.0	-3.11
ACADL	1.5e-15	1.0	8.6	-3.11
CENPF	q<=5.0e-20	24.8	2.9	3.11
GIPC2	q<=5.0e-20	1.0	8.6	-3.10
ABCA6	q<=5.0e-20	2.2	18.9	-3.10
TMTC1	q<=5.0e-20	4.5	38.3	-3.10
HAGHL	q<=5.0e-20	18.0	2.1	3.09
NAT8L	9.2e-13	2.4	20.2	-3.08
BRINP1	1.5e-16	1.0	8.4	-3.08
SLC16A7	1.7e-12	1.1	9.2	-3.08
AOX1	4.1e-17	3.1	26.0	-3.08
FGFBP2	1.0e-06	1.0	8.4	-3.08
SPC24	q<=5.0e-20	14.4	1.7	3.08
CASQ2	5.5e-06	1.1	9.0	-3.07
ZBTB16	3.8e-18	1.0	8.3	-3.06
EBF1	q<=5.0e-20	4.6	38.2	-3.06
CAV2	q<=5.0e-20	20.9	174.2	-3.06
BMX	q<=5.0e-20	1.0	8.3	-3.05
ROPN1	8.3e-05	1.0	8.3	-3.05
RHOXF1-AS1	5.3e-13	1.0	8.3	-3.05
SMIM10L2A	q<=5.0e-20	1.0	8.5	-3.04
SEMA3D	q<=5.0e-20	1.1	9.2	-3.04
RNF150	q<=5.0e-20	1.9	15.4	-3.04
INMT	q<=5.0e-20	2.4	19.4	-3.03
KIF2C	q<=5.0e-20	18.5	2.3	3.03
ASPM	q<=5.0e-20	8.2	1.0	3.03
MT1M	6.0e-20	5.6	45.8	-3.03
FAM189A2	q<=5.0e-20	9.6	77.7	-3.02
PLAAT5	5.9e-14	3.8	30.5	-3.02
DGAT2	1.3e-11	18.3	148.5	-3.02
LAMP5	q<=5.0e-20	17.4	2.2	3.01
CDK1	q<=5.0e-20	57.1	7.1	3.01
VSIG2	3.4e-09	2.5	19.8	-3.01
LIFR	q<=5.0e-20	7.2	58.0	-3.01
BHMT2	7.6e-15	3.3	27.0	-3.01
COL4A6	1.5e-11	1.0	8.0	-3.00
DTL	q<=5.0e-20	16.3	2.0	3.00
AURKB	q<=5.0e-20	21.1	2.6	3.00
PROM1	7.9e-07	8.9	71.2	-3.00
FAM3D	2.9e-08	1.0	8.0	-3.00
ALDH1A1	q<=5.0e-20	21.0	167.4	-2.99
RSPO3	q<=5.0e-20	1.4	11.1	-2.99
JCHAIN	1.6e-12	124.1	987.6	-2.99
EEF1A2	1.2e-06	65.9	8.4	2.98
GTSE1	q<=5.0e-20	8.9	1.1	2.98
DEFB132	3.8e-07	1.0	7.9	-2.98
SLC22A3	5.0e-17	1.0	7.9	-2.98
GHR	8.9e-15	7.6	60.0	-2.98
PHYHIP	q<=5.0e-20	1.1	8.5	-2.97
NDC80	q<=5.0e-20	15.1	1.9	2.97
PKP1	1.8e-12	5.0	39.2	-2.97
SPRY2	q<=5.0e-20	9.9	77.1	-2.96
NCAPG	q<=5.0e-20	7.8	1.0	2.96
ADGRD1	8.8e-16	1.0	7.8	-2.96
PALMD	q<=5.0e-20	23.7	184.1	-2.96
CTSG	2.9e-14	2.3	17.6	-2.96
LMOD1	q<=5.0e-20	9.8	76.4	-2.96
CXCL11	q<=5.0e-20	10.8	1.4	2.96
GRIA4	2.6e-19	1.0	7.8	-2.95
SKA3	q<=5.0e-20	7.7	1.0	2.95
TSPAN7	q<=5.0e-20	7.6	59.2	-2.95
LINC01152	8.7e-10	1.0	7.7	-2.95
P2RY12	q<=5.0e-20	1.0	7.7	-2.95
SRPX	q<=5.0e-20	18.7	143.2	-2.94
CRABP1	1.1e-04	2.5	19.2	-2.94
UBE2T	q<=5.0e-20	57.9	7.6	2.94
MAB21L1	q<=5.0e-20	1.0	7.7	-2.94
APCDD1L-DT	5.2e-10	1.0	7.7	-2.94
HSD17B2	3.3e-04	1.0	7.6	-2.93
ITPRIPL1	q<=5.0e-20	1.9	14.5	-2.93
HRCT1	3.8e-06	2.2	16.8	-2.92
TMEM37	1.6e-15	11.0	83.2	-2.92
ASF1B	q<=5.0e-20	36.8	4.9	2.92
CAPN11	q<=5.0e-20	1.0	7.5	-2.92
MEDAG	9.3e-17	6.0	45.1	-2.92
MMP1	q<=5.0e-20	7.5	1.0	2.91
LINC01484	3.8e-10	1.7	12.5	-2.91
ITM2A	q<=5.0e-20	24.0	178.5	-2.90
PTTG1	q<=5.0e-20	57.1	7.6	2.90
SLC35F3	1.9e-16	1.0	7.4	-2.90
PPP2R2C	q<=5.0e-20	7.5	1.0	2.90
CD209	5.8e-14	1.4	10.6	-2.89
LOC105377590	2.0e-18	2.4	18.2	-2.89
NCMAP	4.1e-08	1.0	7.4	-2.89
CCDC69	1.4e-17	13.0	96.8	-2.89
FAM111B	q<=5.0e-20	15.0	2.0	2.89
ADAMTS9-AS2	q<=5.0e-20	1.0	7.4	-2.89
HSD17B6	q<=5.0e-20	8.1	1.1	2.88
CENPA	q<=5.0e-20	10.5	1.4	2.88
PID1	q<=5.0e-20	4.2	31.1	-2.88
EBF3	q<=5.0e-20	1.5	10.7	-2.88
TUBB2B	1.4e-08	2.5	18.1	-2.88
SNHG26	q<=5.0e-20	3.0	22.5	-2.88
WDR86	q<=5.0e-20	2.7	19.3	-2.87
LINC01697	1.1e-16	1.0	7.3	-2.87
CLDN19	q<=5.0e-20	1.0	7.3	-2.87
SLC5A1	1.4e-07	2.2	16.0	-2.86
AURKA	q<=5.0e-20	24.5	3.4	2.86
FAXDC2	q<=5.0e-20	13.3	96.6	-2.86
SYNE3	1.6e-17	3.6	26.4	-2.86
HIF3A	q<=5.0e-20	1.0	7.2	-2.85
MIR205	3.0e-10	1.0	7.2	-2.85
TK1	q<=5.0e-20	95.1	13.2	2.85
LINC01235	2.8e-15	2.2	15.7	-2.85
AKR1C3	2.4e-19	23.1	166.3	-2.84
DST	q<=5.0e-20	20.9	150.4	-2.84
PIMREG	q<=5.0e-20	7.5	1.1	2.84
TNS1	4.5e-18	35.4	253.1	-2.84
KIFC1	q<=5.0e-20	32.7	4.6	2.84
SEMA3G	5.2e-19	9.3	66.4	-2.84
APCDD1L	1.4e-09	1.6	11.2	-2.84
CDCA5	q<=5.0e-20	23.7	3.3	2.83
CXCL10	q<=5.0e-20	52.5	7.4	2.83
TCEAL2	6.7e-11	1.0	7.0	-2.82
BMP2	5.9e-16	1.0	7.0	-2.82
F10	6.2e-19	2.2	15.5	-2.82
CILP2	q<=5.0e-20	7.1	1.0	2.82
HOXA9	5.4e-19	1.1	8.0	-2.81
ESM1	q<=5.0e-20	10.6	1.5	2.81
ISM1	q<=5.0e-20	6.8	47.6	-2.81
RIC3	1.0e-18	1.0	7.0	-2.81
MYLK	q<=5.0e-20	22.5	157.4	-2.81
FN1	q<=5.0e-20	1324.6	189.4	2.81
SLIT3	q<=5.0e-20	10.0	70.1	-2.81
BUB1B	q<=5.0e-20	10.0	1.4	2.80
MYOC	1.0e-05	1.0	6.9	-2.79
ANXA1	q<=5.0e-20	214.6	1479.8	-2.79
CCNB2	q<=5.0e-20	35.2	5.1	2.79
NRN1	q<=5.0e-20	14.8	102.4	-2.79
NDRG2	q<=5.0e-20	69.5	475.7	-2.78
HOXC13	q<=5.0e-20	9.2	1.3	2.78
CDC45	q<=5.0e-20	12.1	1.8	2.77
CPED1	1.4e-15	5.5	37.3	-2.77
NR3C2	q<=5.0e-20	2.6	17.6	-2.77
SYNPO2	7.9e-15	12.5	85.5	-2.77
NCAM1	9.5e-13	1.0	6.8	-2.77
C14orf180	1.0e-10	1.0	6.8	-2.77
CCDC78	q<=5.0e-20	7.4	1.1	2.76
MMP9	7.8e-07	42.5	6.3	2.76
CDC25C	q<=5.0e-20	6.8	1.0	2.76
CCNA2	q<=5.0e-20	16.4	2.4	2.75
LOXL4	3.8e-16	2.5	17.0	-2.75
SPAAR	3.6e-18	1.2	7.8	-2.75
TRMT9B	q<=5.0e-20	1.0	6.8	-2.74
LAMA3	q<=5.0e-20	10.0	66.6	-2.74
WNT11	6.0e-10	2.3	15.6	-2.74
EGR3	2.0e-14	8.5	56.5	-2.74
NOVA1	1.2e-08	2.7	17.7	-2.73
ATF3	2.9e-16	32.9	218.1	-2.73
ANGPTL4	1.5e-16	14.3	95.5	-2.73
MYMX	3.1e-10	1.0	6.6	-2.73
CDCA3	q<=5.0e-20	23.4	3.5	2.73
KLF4	8.3e-20	19.2	126.9	-2.73
AKAP12	1.3e-19	8.9	58.7	-2.72
ADAMTS1	q<=5.0e-20	17.5	115.1	-2.72
EGR2	4.6e-18	12.6	82.7	-2.72
SLC25A27	q<=5.0e-20	2.0	13.4	-2.72
DIO3OS	6.8e-13	1.4	9.4	-2.72
EFCAB1	q<=5.0e-20	1.0	6.6	-2.72
CDKN3	q<=5.0e-20	27.0	4.1	2.71
PCLAF	q<=5.0e-20	6.5	1.0	2.71
TMEM255A	q<=5.0e-20	1.7	11.3	-2.71
TCEAL5	1.2e-18	1.0	6.5	-2.70
RASSF9	q<=5.0e-20	1.1	7.3	-2.70
CCL13	4.8e-07	1.7	10.8	-2.69
NMNAT2	3.6e-14	1.0	6.5	-2.69
FAM13C	q<=5.0e-20	1.3	8.6	-2.69
LRRN3	8.2e-13	1.0	6.5	-2.69
TMEM220	q<=5.0e-20	2.5	16.1	-2.69
CCDC3	8.2e-14	10.3	65.9	-2.68
SGCG	3.5e-08	1.0	6.4	-2.68
CTXN1	q<=5.0e-20	42.3	6.6	2.68
CENPM	q<=5.0e-20	21.3	3.4	2.67
TCEAL7	q<=5.0e-20	3.3	20.9	-2.67
TENM2	1.9e-17	1.0	6.4	-2.67
FAM110D	q<=5.0e-20	1.6	10.0	-2.67
RBP7	q<=5.0e-20	27.5	175.6	-2.67
SDS	q<=5.0e-20	16.3	2.6	2.67
COL6A6	8.8e-20	1.0	6.3	-2.66
SPC25	q<=5.0e-20	13.3	2.1	2.66
CACHD1	q<=5.0e-20	5.3	33.6	-2.65
ABCB1	q<=5.0e-20	1.6	10.0	-2.65
WDR62	q<=5.0e-20	6.4	1.0	2.65
CDCA8	q<=5.0e-20	20.4	3.3	2.64
KLK8	2.0e-05	1.0	6.2	-2.64
KCTD14	8.8e-17	1.0	6.2	-2.64
TRABD2B	q<=5.0e-20	1.0	6.4	-2.64
DMGDH	3.3e-15	1.0	6.2	-2.64
SNCG	1.7e-13	27.7	171.4	-2.63
LILRB5	6.1e-10	1.9	12.1	-2.63
ESPL1	q<=5.0e-20	6.5	1.1	2.62
ABI3BP	6.4e-17	7.0	43.2	-2.62
LAMB3	q<=5.0e-20	21.1	130.1	-2.62
PTGFR	1.9e-17	1.0	6.2	-2.62
EDNRB	q<=5.0e-20	5.6	33.9	-2.61
BICDL1	q<=5.0e-20	16.9	2.8	2.61
GNAL	q<=5.0e-20	1.4	8.5	-2.61
NR4A1	2.7e-12	27.1	166.0	-2.61
GPRASP1	q<=5.0e-20	2.3	14.1	-2.61
EFEMP1	q<=5.0e-20	64.7	393.2	-2.60
LGI4	q<=5.0e-20	2.1	12.8	-2.60
GCAWKR	9.3e-15	1.2	7.2	-2.60
ATP13A5	3.0e-07	1.0	6.0	-2.59
AQP1	q<=5.0e-20	79.7	480.7	-2.59
TNS4	1.3e-17	11.5	69.4	-2.59
MIR205HG	1.3e-15	31.9	192.1	-2.59
KL	q<=5.0e-20	1.0	6.0	-2.58
NCAPH	q<=5.0e-20	6.6	1.1	2.58
CYP39A1	q<=5.0e-20	1.9	11.2	-2.58
PRELP	1.7e-17	15.6	92.3	-2.57
KIF26B	q<=5.0e-20	5.9	1.0	2.56
NPY2R	2.7e-08	1.0	5.9	-2.56
MICU3	q<=5.0e-20	1.0	5.9	-2.56
LVRN	1.0e-11	1.0	5.9	-2.56
CADM3	1.1e-16	1.0	5.9	-2.55
GLDN	1.5e-10	1.0	5.9	-2.55
CORO2B	q<=5.0e-20	2.2	13.2	-2.55
MIR99AHG	q<=5.0e-20	2.4	14.3	-2.55
COX7A1	1.6e-09	35.4	206.9	-2.55
PAK3	q<=5.0e-20	1.0	5.9	-2.55
KLHL31	1.3e-09	1.0	5.8	-2.54
